"id", "title", "author", "category", "grade", "publisher", "edition", "price"
"2138","IZRADA WEB STRANICA : udžbenik za 1. razred srednjih škola","Davorka Galić","udžbenik","1.","ELEMENT","","126"
"1622","INFORMATIKA + : dopunski udžbenik za 1.-3. razred srednjih ekonomskih škola","Marijan Antolović, Predrag Brođanac, Ankica Jagnjić, Natalija Stjepanek","udžbenik","1.-3.","ŠK","","95"
"1623","JEZIK C : udžbenik i CD s riješenim primjerima za 2. i 3. razred srednjih strukovnih škola","Tatjana Androković, Vesna Tomić","udžbenik s CD-om","2.-3.","ŠK","","109"
"1624","PROGRAMIRANJE : udžbenik programiranja u Pascalu za 2. i 3. razred srednjih strukovnih škola","Vesna Mesar","udžbenik","2.-3.","ŠK","","109"
"3996","INFORMATIKA 3 : udžbenik s multimedijskim sadržajem za 3. razred ekonomskih škola","Boris Marković, Branko Pasanović","udžbenik s multimedijskim sadržajem","3.","NEODIDACTA","","139.65"
"4288","INFORMATIKA 1 : udžbenik za 1. razred ekonomske škole","Franjo Borović, Ivančica Sabadin","udžbenik","1.","MATE","Novo",""
"4685","INFORMATIKA 1 : udžbenik za ekonomiste","Ivan Strugar, Biljana Pavelić","udžbenik","1.","ALKA","Novo","100"
"5394","INFORMATIKA 1 : udžbenik informatike za 1. razred srednje strukovne škole za zanimanje ekonomist/ekonomistica","Natalija Stjepanek, Vesna Tomić","udžbenik","1.","ŠK","Novo","109"
"5331","INFORMATIKA I RAČUNALSTVO : udžbenik za gimnazije i srednje škole","Vinkoslav Galešev, Predrag Brođanac, Nikola Dmitrović, Milan Korać, Snježana Babić, Gordana Sokol, Zlatan Soldo, Dragan Kovač","udžbenik","1.-2.","SYSPRINT","Novo","153"
"5089","WWW INFORMATIKA : udžbenik informatike i računalstva s e-podrškom za gimnazije i srednje škole","Lidija Kralj, Janja Linardić, Darka Sudarević","udžbenik","1.-4.","PROFIL","Novo","162"
"4686","INFORMATIKA 2 : udžbenik za ekonomiste","Ivan Strugar, Biljana Pavelić","udžbenik","2.","ALKA","Novo","100"
"5395","INFORMATIKA 2 : udžbenik informatike za 2. razred srednje strukovne škole za zanimanje ekonomist/ekonomistica","Natalija Stjepanek, Vesna Tomić","udžbenik","2.","ŠK","Novo","109"
